point,numerical_iteration,numerical_gross_mass_kg,numerical_battery_mass_kg,numerical_structure_mass_kg,numerical_propulsion_mass_kg,numerical_total_disk_area_m2,numerical_ideal_induced_power_w,numerical_propulsion_hover_power_w,numerical_total_hover_power_w,numerical_required_nominal_battery_energy_wh,numerical_installed_nominal_battery_energy_wh,numerical_energy_limited_battery_mass_kg,numerical_power_limited_battery_mass_kg,numerical_relative_mass_change
demanding,2.0,8.80525736,4.81853527,1.92341418,0.91929784,1.13832373,337.99449211,754.99798733,888.6936395,925.72254115,925.72254115,4.81853527,2.40419058,0.20904038
demanding,3.0,10.52978315,5.90042911,2.22807333,1.16225636,1.43916795,427.32205919,954.53417781,1088.22982999,1133.57273957,1133.57273957,5.90042911,2.99443798,0.163776
demanding,4.0,12.14550703,6.91406527,2.51351126,1.3898864,1.72103163,511.01386787,1141.48144644,1275.17709861,1328.30947772,1328.30947772,6.91406527,3.54744612,0.13303058
demanding,5.0,13.6592934,7.86375019,2.78094064,1.60315505,1.98511228,589.42548333,1316.63403987,1450.32969204,1510.76009588,1510.76009588,7.86375019,4.06556447,0.11082465
demanding,6.0,15.0775736,8.75351862,3.03149766,1.80296838,2.23253183,662.89003782,1480.73609501,1614.43174719,1681.69973666,1681.69973666,8.75351862,4.55099426,0.09406555
demanding,7.0,16.40637319,9.58715074,3.26624681,1.99017531,2.46434145,731.71964598,1634.48480051,1768.18045268,1841.85463821,1841.85463821,9.58715074,5.00579784,0.08099289
demanding,8.0,17.65133759,10.36818824,3.48618541,2.16557118,2.68152599,796.20673082,1778.5333587,1912.22901087,1991.90521966,1991.90521966,10.36818824,5.43190744,0.07053088
demanding,9.0,18.81775605,11.09994936,3.69224789,2.32990116,2.88500816,856.62526614,1913.49376081,2047.18941298,2132.48897186,2132.48897186,11.09994936,5.83113339,0.06198499
demanding,10.0,19.91058409,11.78554301,3.8853097,2.48386342,3.07565246,913.23194048,2039.93938697,2173.63503914,2264.20316577,2264.20316577,11.78554301,6.20517182,0.05488679
demanding,11.0,20.9344646,12.42788192,4.06619106,2.62811205,3.25426882,966.26724764,2158.40744222,2292.1030944,2387.60739,2387.60739,12.42788192,6.55561181,0.04890885
demanding,12.0,21.89374755,13.02969507,4.23566044,2.7632599,3.42161612,1015.95650848,2269.40123887,2403.09689104,2503.22592817,2503.22592817,13.02969507,6.88394222,0.04381538
demanding,13.0,22.79250846,13.59353928,4.39443785,2.88988116,3.57840532,1062.51082813,2373.39233475,2507.08798693,2611.54998638,2611.54998638,13.59353928,7.19155796,0.03943229
demanding,14.0,23.63456571,14.12181004,4.54319785,3.00851376,3.72530255,1106.12799292,2470.82253671,2604.51818889,2713.03978009,2713.03978009,14.12181004,7.47976595,0.03562821
demanding,15.0,24.4234968,14.61675172,4.68257244,3.11966172,3.8629319,1146.99331064,2562.10577758,2695.80142975,2808.12648933,2808.12648933,14.61675172,7.74979062,0.03230213
demanding,16.0,25.1626535,15.08046706,4.81315375,3.22379725,3.99187808,1185.28039787,2647.62987479,2781.32552696,2897.21409059,2897.21409059,15.08046706,8.0027792,0.02937515
demanding,17.0,25.85517612,15.51492618,4.93549658,3.32136278,4.11268893,1221.15191754,2727.75817801,2861.45383019,2980.68107311,2980.68107311,15.51492618,8.23980649,0.02678468
demanding,18.0,26.50400685,15.92197487,5.05012068,3.41277281,4.22587771,1254.76027002,2802.83111285,2936.52676503,3058.8820469,3058.8820469,15.92197487,8.46187951,0.02448048
demanding,19.0,27.11190226,16.30334249,5.15751304,3.49841569,4.33192531,1286.24824062,2873.16762716,3006.86327933,3132.14924931,3132.14924931,16.30334249,8.66994173,0.02242172
demanding,20.0,27.68144498,16.66064927,5.25812992,3.57865529,4.43128227,1315.74960619,2939.06654606,3072.76219823,3200.79395649,3200.79395649,16.66064927,8.86487712,0.02057489
demanding,21.0,28.21505473,16.99541324,5.35239879,3.6538325,4.52437071,1343.38970345,3000.80784153,3134.5034937,3265.10780594,3265.10780594,16.99541324,9.04751386,0.01891224
demanding,22.0,28.71499855,17.30905664,5.44072015,3.7242667,4.61158611,1369.28596155,3058.65382186,3192.34947403,3325.36403545,3325.36403545,17.30905664,9.21862788,0.01741055
demanding,23.0,29.18340045,17.602912,5.52346923,3.79025715,4.69329901,1393.54840089,3112.85024606,3246.54589823,3381.81864399,3381.81864399,17.602912,9.37894616,0.01605029
demanding,24.0,29.62225045,17.87822774,5.6009976,3.8520842,4.76985657,1416.28010061,3163.62736799,3297.32302017,3434.71147934,3434.71147934,17.87822774,9.52914981,0.01481488
demanding,25.0,30.033413,18.13617357,5.67363463,3.91001053,4.84158404,1437.57763648,3211.20091458,3344.89656675,3484.26725703,3484.26725703,18.13617357,9.66987697,0.01369017
demanding,26.0,30.41863492,18.37784535,5.74168892,3.96428223,4.90878616,1457.53149122,3255.77300234,3389.46865451,3530.69651512,3530.69651512,18.37784535,9.80172553,0.01266401
demanding,27.0,30.77955284,18.60426984,5.8054496,4.01512988,4.97174844,1476.2264389,3297.53299607,3431.22864824,3574.19650859,3574.19650859,18.60426984,9.92525564,0.0117259
demanding,28.0,31.11770011,18.816409,5.86518757,4.0627695,5.03073836,1493.74190512,3336.65831337,3470.35396554,3614.95204744,3614.95204744,18.816409,10.04099212,0.01086672
demanding,29.0,31.43451337,19.0151641,5.92115661,4.10740349,5.08600656,1510.15230447,3373.3151784,3507.01083057,3653.13628185,3653.13628185,19.0151641,10.14942668,0.01007852
demanding,30.0,31.73133858,19.20137956,5.97359452,4.14922149,5.13778784,1525.52735662,3407.65932809,3541.35498026,3688.91143777,3688.91143777,19.20137956,10.25102001,0.00935432
demanding,31.0,32.00943681,19.37584652,6.02272406,4.18840115,5.18630219,1539.93238259,3439.83667377,3573.53232594,3722.42950619,3722.42950619,19.37584652,10.34620371,0.00868801
demanding,32.0,32.26998958,19.5393062,6.06875398,4.22510893,5.23175573,1553.42858221,3469.9839211,3603.67957328,3753.83288883,3753.83288883,19.5393062,10.43538219,0.00807415
demanding,33.0,32.51410383,19.69245305,6.11187983,4.25950078,5.27434155,1566.07329418,3498.22915087,3631.92480304,3783.25500317,3783.25500317,19.69245305,10.51893432,0.00750795
